Hourly measurement data supplied by Air Quality in Scotland on 23/07/2019
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Edinburgh Currie",,"Edinburgh Glasgow Road",,"Edinburgh Gorgie Road",,"Edinburgh Nicolson Street",,"Edinburgh Queensferry Road",,"Edinburgh Salamander St",,"Edinburgh St John's Road",,"Edinburgh St Leonards",
Date,Time,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status
23/07/2019,01:00,10.2,P ugm-3,No data,,No data,N ugm-3,7.8,P ugm-3,12.5,P ugm-3,11.5,P ugm-3,11,P ugm-3,No data,P ugm-3
23/07/2019,02:00,5.5,P ugm-3,No data,,No data,N ugm-3,15.5,P ugm-3,8.8,P ugm-3,6.4,P ugm-3,8.7,P ugm-3,No data,P ugm-3
23/07/2019,03:00,6.5,P ugm-3,No data,,No data,N ugm-3,5.7,P ugm-3,8.7,P ugm-3,7.6,P ugm-3,10.1,P ugm-3,No data,P ugm-3
23/07/2019,04:00,2.5,P ugm-3,No data,,No data,N ugm-3,13.6,P ugm-3,7.9,P ugm-3,3.3,P ugm-3,20.5,P ugm-3,No data,P ugm-3
23/07/2019,05:00,18.9,P ugm-3,No data,,5.7,P ugm-3,37.7,P ugm-3,15.2,P ugm-3,27.7,P ugm-3,39.6,P ugm-3,No data,P ugm-3
23/07/2019,06:00,24.1,P ugm-3,No data,,18,P ugm-3,88,P ugm-3,No data,,No data,,60.2,P ugm-3,No data,P ugm-3
23/07/2019,07:00,No data,,No data,,No data,,134.4,P ugm-3,No data,,No data,,174.6,P ugm-3,No data,P ugm-3
23/07/2019,08:00,No data,,No data,,No data,,116.5,P ugm-3,No data,,No data,,150.5,P ugm-3,No data,P ugm-3
23/07/2019,09:00,No data,,No data,,No data,,178.1,P ugm-3,No data,,No data,,134,P ugm-3,No data,P ugm-3



End
