15 Minutes measurement data supplied by Air Quality in Scotland on 23/07/2019
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Edinburgh St Leonards",
Date,Time,"Sulphur dioxide",Status
23/07/2019,00:15,3.2,P ugm-3
23/07/2019,00:30,1.1,P ugm-3
23/07/2019,00:45,0.8,P ugm-3
23/07/2019,01:00,No data,P ugm-3
23/07/2019,01:15,No data,P ugm-3
23/07/2019,01:30,3.2,P ugm-3
23/07/2019,01:45,4,P ugm-3
23/07/2019,02:00,0.5,P ugm-3
23/07/2019,02:15,0.5,P ugm-3
23/07/2019,02:30,No data,P ugm-3
23/07/2019,02:45,0.3,P ugm-3
23/07/2019,03:00,1.1,P ugm-3
23/07/2019,03:15,0.3,P ugm-3
23/07/2019,03:30,No data,P ugm-3
23/07/2019,03:45,No data,P ugm-3
23/07/2019,04:00,0.8,P ugm-3
23/07/2019,04:15,0.8,P ugm-3
23/07/2019,04:30,0.3,P ugm-3
23/07/2019,04:45,0,P ugm-3
23/07/2019,05:00,0.3,P ugm-3
23/07/2019,05:15,0.5,P ugm-3
23/07/2019,05:30,0,P ugm-3
23/07/2019,05:45,1.1,P ugm-3
23/07/2019,06:00,0.5,P ugm-3
23/07/2019,06:15,1.9,P ugm-3
23/07/2019,06:30,1.1,P ugm-3
23/07/2019,06:45,2.9,P ugm-3
23/07/2019,07:00,0.8,P ugm-3
23/07/2019,07:15,0.8,P ugm-3
23/07/2019,07:30,0.3,P ugm-3
23/07/2019,07:45,No data,P ugm-3
23/07/2019,08:00,1.3,P ugm-3
23/07/2019,08:15,1.6,P ugm-3
23/07/2019,08:30,0.5,P ugm-3
23/07/2019,08:45,0,P ugm-3
23/07/2019,09:00,No data,P ugm-3



End
