Hourly measurement data supplied by Air Quality in Scotland on 23/07/2019
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Edinburgh St Leonards",
Date,Time,"Sulphur dioxide",Status
23/07/2019,01:00,1.7,P ugm-3
23/07/2019,02:00,2.6,P ugm-3
23/07/2019,03:00,0.6,P ugm-3
23/07/2019,04:00,No data,P ugm-3
23/07/2019,05:00,0.3,P ugm-3
23/07/2019,06:00,0.5,P ugm-3
23/07/2019,07:00,1.7,P ugm-3
23/07/2019,08:00,0.8,P ugm-3
23/07/2019,09:00,0.7,P ugm-3



End
