Hourly measurement data supplied by Air Quality in Scotland on 23/07/2019
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Edinburgh Currie",,"Edinburgh Glasgow Road",,"Edinburgh Gorgie Road",,"Edinburgh Nicolson Street",,"Edinburgh Queensferry Road",,"Edinburgh Salamander St",,"Edinburgh St John's Road",,"Edinburgh St Leonards",
Date,Time,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status
23/07/2019,01:00,2,P ugm-3,No data,,2,P ugm-3,4,P ugm-3,5.1,P ugm-3,7.6,P ugm-3,3.6,P ugm-3,No data,P ugm-3
23/07/2019,02:00,0.3,P ugm-3,No data,,2.8,P ugm-3,6.1,P ugm-3,2.9,P ugm-3,6.4,P ugm-3,2.7,P ugm-3,No data,P ugm-3
23/07/2019,03:00,0.1,P ugm-3,No data,,2.7,P ugm-3,3.6,P ugm-3,2.8,P ugm-3,10,P ugm-3,2.9,P ugm-3,No data,P ugm-3
23/07/2019,04:00,-0.9,P ugm-3,No data,,3.2,P ugm-3,6.3,P ugm-3,1.9,P ugm-3,7.2,P ugm-3,8.2,P ugm-3,No data,P ugm-3
23/07/2019,05:00,3,P ugm-3,No data,,9.6,P ugm-3,14.2,P ugm-3,4.5,P ugm-3,15.3,P ugm-3,16,P ugm-3,No data,P ugm-3
23/07/2019,06:00,3.7,P ugm-3,No data,,12.7,P ugm-3,29.3,P ugm-3,No data,,No data,,22.2,P ugm-3,No data,P ugm-3
23/07/2019,07:00,No data,,No data,,No data,,41.1,P ugm-3,No data,,No data,,47.7,P ugm-3,No data,P ugm-3
23/07/2019,08:00,No data,,No data,,No data,,41.7,P ugm-3,No data,,No data,,48.1,P ugm-3,No data,P ugm-3
23/07/2019,09:00,No data,,No data,,No data,,38.6,P ugm-3,No data,,No data,,46.4,P ugm-3,No data,P ugm-3



End
